y,Date,y_scaled,t
116806,7/19/16,0.6152476666034595,0.4427899686520376
128799,7/20/16,0.6784179255420011,0.44357366771159873
128476,7/21/16,0.6767166002991805,0.4443573667711599
105666,7/22/16,0.5565703811389925,0.445141065830721
101810,7/23/16,0.5362598234414175,0.44592476489028215
113680,7/24/16,0.5987822092998757,0.44670846394984326
85145,7/25/16,0.4484809219813328,0.44749216300940436
108783,7/26/16,0.5729884330952532,0.4482758620689655
115744,7/27/16,0.6096538356193245,0.44905956112852663
98694,7/28/16,0.5198470387459705,0.4498432601880878
81355,7/29/16,0.42851800349746116,0.4506269592476489
72197,7/30/16,0.3802804289657207,0.45141065830721006
70377,7/31/16,0.3706940142848113,0.45219435736677116
101134,8/1/16,0.5326991551313655,0.45297805642633227
116187,8/2/16,0.6119872321597877,0.4537617554858934
118370,8/3/16,0.6234856625160652,0.45454545454545453
118563,8/4/16,0.6245022438531066,0.4553291536050157
116534,8/5/16,0.6138149716621368,0.4561128526645768
125188,8/6/16,0.6593978467437793,0.45689655172413796
116183,8/7/16,0.6119661631165328,0.45768025078369906
115847,8/8/16,0.6101963634831342,0.45846394984326017
114892,8/9/16,0.6051661294060636,0.4592476489028213
101761,8/10/16,0.5360017276615469,0.46003134796238243
93639,8/11/16,0.49322103533278555,0.4608150470219436
90685,8/12/16,0.47766154688915574,0.4615987460815047
100035,8/13/16,0.5269104354971241,0.46238244514106586
74055,8/14/16,0.3900669995575501,0.46316614420062696
107305,8/15/16,0.5652034216126246,0.46394984326018807
103010,8/16/16,0.5425805364178413,0.4647335423197492
113583,8/17/16,0.5982712850009481,0.46551724137931033
115041,8/18/16,0.6059509512673029,0.4663009404388715
110723,8/19/16,0.5832069190738048,0.4670846394984326
138864,8/20/16,0.7314329056317552,0.46786833855799376
96941,8/21/16,0.5106135305395783,0.46865203761755486
118995,8/22/16,0.6267777005246192,0.46943573667711597
127012,8/23/16,0.6690053304679434,0.4702194357366771
127066,8/24/16,0.6692897625518825,0.47100313479623823
111985,8/25/16,0.5898542022206772,0.4717868338557994
112005,8/26/16,0.5899595474369509,0.4725705329153605
120578,8/27/16,0.6351157743926849,0.47335423197492166
121056,8/28/16,0.637633525061627,0.47413793103448276
115101,8/29/16,0.6062669869161241,0.47492163009404387
121098,8/30/16,0.6378547500158018,0.475705329153605
118815,8/31/16,0.6258295935781556,0.47648902821316613
77415,9/1/16,0.4077649958915366,0.4772727272727273
126790,9/2/16,0.667835998567305,0.4780564263322884
117476,9/3/16,0.6187767313486294,0.4788401253918495
140347,9/4/16,0.7392442534184522,0.47962382445141066
118022,9/5/16,0.6216526557529023,0.48040752351097177
108743,9/6/16,0.5727777426627056,0.48119122257053293
130391,9/7/16,0.68680340475739,0.48197492163009403
130259,9/8/16,0.6861081263299833,0.4827586206896552
118213,9/9/16,0.6226587025683163,0.4835423197492163
127252,9/10/16,0.6702694730632281,0.4843260188087774
136353,9/11/16,0.7182068137285886,0.48510971786833856
127447,9/12/16,0.671296588921897,0.48589341692789967
135366,9/13/16,0.7130080273054801,0.48667711598746083
121511,9/14/16,0.6400301287318543,0.48746081504702193
140436,9/15/16,0.7397130396308703,0.4882445141065831
145454,9/16/16,0.766144154393949,0.4890282131661442
154037,9/17/16,0.8113530539578198,0.4898119122257053
131788,9/18/16,0.6941617681141099,0.49059561128526646
67180,9/19/16,0.3538545814634557,0.49137931034482757
135085,9/20/16,0.7115279270168342,0.49216300940438873
142356,9/21/16,0.7498261803931483,0.49294670846394983
146370,9/22/16,0.7709689652992857,0.493730407523511
142458,9/23/16,0.7503634409961444,0.4945141065830721
137355,9/24/16,0.7234846090639024,0.4952978056426332
143312,9/25/16,0.7548616817310326,0.49608150470219436
128011,9/26/16,0.6742673240208162,0.49686520376175547
122347,9/27/16,0.6444335587720962,0.49764890282131663
120072,9/28/16,0.6324505404209595,0.49843260188087773
104364,9/29/16,0.5497124075595727,0.4992163009404389
45194,9/30/16,0.23804858521374544,0.5
91771,10/1/2016,0.48338179213281923,0.5007836990595611
100425,10/2/2016,0.5289646672144618,0.5015673981191222
116682,10/3/2016,0.6145945262625624,0.5023510971786834
123551,10/4/2016,0.6507753407917747,0.5031347962382445
126942,10/5/2016,0.6686366222109854,0.5039184952978056
137567,10/6/2016,0.7246012683564039,0.5047021943573667
142612,10/7/2016,0.7511745991614521,0.5054858934169278
86818,10/8/2016,0.45729304932263026,0.5062695924764891
46334,10/9/2016,0.244053262541348,0.5070532915360502
107487,10/10/2016,0.5661620630807155,0.5078369905956113
113228,10/11/2016,0.5964014074120895,0.5086206896551724
119851,10/12/2016,0.6312864757811347,0.5094043887147336
117523,10/13/2016,0.6190242926068728,0.5101880877742947
123000,10/14/2016,0.6478730800834334,0.5109717868338558
138233,10/15/2016,0.7281092640583191,0.5117554858934169
126550,10/16/2016,0.6665718559720203,0.512539184952978
132131,10/17/2016,0.6959684385732043,0.5133228840125392
143635,10/18/2016,0.7565630069738534,0.5141065830721003
145347,10/19/2016,0.7655805574868845,0.5148902821316614
131686,10/20/2016,0.6936245075111139,0.5156739811912225
80787,10/21/2016,0.4255261993552873,0.5164576802507836
55557,10/22/2016,0.2926332090259781,0.5172413793103449
99878,10/23/2016,0.5260834755493753,0.518025078369906
106893,10/24/2016,0.5630333101573858,0.5188087774294671
96848,10/25/2016,0.5101236752839053,0.5195924764890282
103870,10/26/2016,0.5471103807176116,0.5203761755485894
